<TICKER>,<PER>,<DATE>,<TIME>,Open,High,Low,Close,Volume
US1.AMZN,60,20120620,000000,223.9000000,224.5300000,223.6200000,224.0200000,512782
US1.AMZN,60,20120620,010000,224.0300000,224.0300000,224.0300000,224.0300000,64512
US1.AMZN,60,20120620,180000,224.5100000,224.7400000,222.8700000,223.6400000,235114
US1.AMZN,60,20120620,190000,223.6000000,224.7300000,223.1800000,223.6000000,309626
US1.AMZN,60,20120620,200000,223.6000000,223.9900000,222.7118000,222.7400000,177894
US1.AMZN,60,20120620,210000,222.7400000,223.3400000,220.8400000,222.9200000,436959
US1.AMZN,60,20120620,220000,222.9800000,224.6000000,222.6400000,223.0550000,394211
US1.AMZN,60,20120620,230000,223.0200000,223.5500000,221.0000000,222.0200000,391562
US1.AMZN,60,20120621,000000,222.0300000,223.0200000,221.3388000,223.0200000,437386
US1.AMZN,60,20120621,010000,223.0200000,223.0200000,223.0200000,223.0200000,12929
US1.AMZN,60,20120621,180000,223.8400000,224.8000000,223.5000000,224.1500000,259162
US1.AMZN,60,20120621,190000,224.1700000,226.0300000,223.0218000,225.1300000,611259
US1.AMZN,60,20120621,200000,225.1900000,225.2300000,223.1000000,223.8800000,426319
US1.AMZN,60,20120621,210000,223.7900000,223.9598000,221.8000000,222.6200000,276717
US1.AMZN,60,20120621,220000,222.6200000,223.0400000,221.5600000,221.9000000,241400
US1.AMZN,60,20120621,230000,221.8001000,221.9850000,220.7200000,221.4000000,248826
US1.AMZN,60,20120622,000000,221.4300000,221.4300000,220.5200000,220.5200000,608218
US1.AMZN,60,20120622,180000,221.8300000,222.0000000,219.3500000,220.4800000,417171
US1.AMZN,60,20120622,190000,220.5900000,221.4100000,219.5100000,220.0000000,447773
US1.AMZN,60,20120622,200000,219.9900000,220.9878000,219.9900000,220.7300000,242301
US1.AMZN,60,20120622,210000,220.7600000,220.9700000,220.3000000,220.5300000,106882
US1.AMZN,60,20120622,220000,220.5200000,220.7000000,220.2500000,220.7000000,83561
US1.AMZN,60,20120622,230000,220.7100000,221.7100000,220.6900000,221.4710000,168196
US1.AMZN,60,20120623,000000,221.4915000,222.5100000,221.4850000,222.1300000,446560
US1.AMZN,60,20120623,010000,222.1600000,222.1600000,222.1600000,222.1600000,2159
US1.AMZN,60,20120625,180000,220.4400000,221.5900000,219.5200000,220.6300000,341648
US1.AMZN,60,20120625,190000,220.5900000,221.0000000,218.6210000,218.9500000,423266
US1.AMZN,60,20120625,200000,218.9650000,219.0690000,218.0500000,218.0500000,280728
US1.AMZN,60,20120625,210000,218.0500000,219.1300000,218.0000000,218.8000000,259221
US1.AMZN,60,20120625,220000,218.7200000,219.3000000,218.1800000,218.9380000,161131
US1.AMZN,60,20120625,230000,218.9300000,219.5580000,218.9000000,219.2399000,154857
US1.AMZN,60,20120626,000000,219.2050000,220.7600000,219.1500000,220.0200000,499525
US1.AMZN,60,20120626,010000,220.0200000,220.0700000,220.0100000,220.0700000,195177
US1.AMZN,60,20120626,180000,221.4500000,224.7400000,221.4500000,224.7400000,650931
US1.AMZN,60,20120626,190000,224.7290000,226.3900000,224.0300000,224.7200000,889598
US1.AMZN,60,20120626,200000,224.7200000,225.6600000,224.1100000,225.0900000,356401
US1.AMZN,60,20120626,210000,225.1000000,225.9200000,224.5800000,225.2100000,219900
US1.AMZN,60,20120626,220000,225.2600000,225.5800000,224.1600000,224.6900000,266517
US1.AMZN,60,20120626,230000,224.7200000,226.1400000,224.6900000,225.9220000,373839
US1.AMZN,60,20120627,000000,225.9300000,226.1600000,225.1000000,225.4600000,726648
US1.AMZN,60,20120627,010000,225.4700000,225.6100000,225.4700000,225.6100000,102033
US1.AMZN,60,20120627,180000,225.0100000,227.2700000,224.6500000,225.4900000,560349
US1.AMZN,60,20120627,190000,225.4450000,227.0000000,225.2000000,226.0040000,377881
