<DATE>,<TIME>,Open,High,Low,Close,Volume
20120709,100000,584.7200000,588.6000000,583.2900000,583.8000000,248008
20120709,110000,583.6800000,584.3100000,581.2500000,583.8200000,324369
20120709,120000,583.8700000,584.7000000,582.2800000,582.4700000,307416
20120709,130000,582.4000000,585.0000000,582.3900000,584.6900000,127911
20120709,140000,584.6600000,586.4500000,583.2200000,586.4500000,172245
20120709,150000,586.2500000,587.4980000,583.7500000,584.4600000,123746
20120709,160000,584.3600000,586.5400000,584.1300000,586.2200000,250460
20120710,100000,589.9800000,592.4300000,588.0101000,590.0600000,287310
20120710,110000,589.9420000,591.4900000,587.1000000,587.8200000,355600
20120710,120000,587.8400000,588.0000000,584.9600000,587.3418000,205936
20120710,130000,587.2500000,587.8400000,586.1400000,586.3100000,167641
20120710,140000,586.1700000,586.3800000,583.5800000,584.5800000,123713
20120710,150000,584.5800000,584.7800000,580.2901000,580.4218000,205470
20120710,160000,580.4200000,582.4800000,578.7400000,581.6100000,457607
20120711,100000,576.5300000,577.8500000,571.8007000,573.3500000,654099
20120711,110000,573.3500000,575.9600000,570.8000000,570.9000000,421535
20120711,120000,570.7300000,572.5000000,568.5100000,570.4300000,409225
20120711,130000,570.2000000,571.4200000,568.2100000,569.7700000,337137
20120711,140000,569.8400000,569.8400000,566.5000000,568.1500000,298527
20120711,150000,568.2300000,569.3200000,564.9400000,568.1900000,542327
20120711,160000,568.0100000,572.4300000,567.5000000,571.0700000,657467
20120712,100000,567.5000000,569.1190000,566.1100000,567.0000000,230391
20120712,110000,566.8400000,567.4200000,562.0900000,565.0900000,474429
20120712,120000,565.0900000,567.0000000,564.1200000,566.3604000,275961
20120712,130000,566.3700000,567.5000000,565.5500000,566.3100000,196503
20120712,140000,566.2800000,570.9600000,565.8000000,569.0700000,333163
20120712,150000,569.0400000,571.2500000,567.9500000,570.9780000,206918
20120712,160000,570.8100000,571.9300000,570.1000000,570.7700000,470642
20120713,100000,572.1500000,574.5900000,568.5500000,571.0500000,240495
20120713,110000,571.2900000,573.4900000,570.6200000,571.5900000,254129
20120713,120000,571.8200000,573.8800000,571.2200000,573.7800000,184010
20120713,130000,573.7700000,575.2900000,573.6600000,574.9800000,154555
20120713,140000,575.1300000,576.3800000,574.6800000,576.1464000,145178
20120713,150000,576.1200000,577.2900000,576.0000000,577.2000000,177670
20120713,160000,577.3000000,579.1482000,576.2000000,576.4800000,564908
20120716,100000,576.0000000,579.1900000,571.7808000,573.2800000,257793
20120716,110000,573.2600000,575.8000000,573.0000000,574.8000000,215578
20120716,120000,574.6300000,575.9700000,574.1500000,575.0900000,164981
20120716,130000,575.0900000,576.0400000,574.2700000,575.0450000,133302
20120716,140000,574.9000000,575.8500000,574.1600000,574.9600000,102450
20120716,150000,575.2100000,576.3200000,574.3600000,574.7500000,146978
20120716,160000,574.7300000,575.5900000,573.5000000,574.9100000,333031
20120717,100000,578.4300000,580.6700000,573.0500000,573.4100000,205688
20120717,110000,573.2600000,574.0900000,568.4000000,569.8200000,342100
20120717,120000,570.0400000,573.0000000,568.9900000,572.9400000,220325
20120717,130000,572.7800000,575.9800000,572.7000000,574.7400000,198214
20120717,140000,574.4800000,578.2500000,574.4532000,576.3700000,171399
20120717,150000,576.2500000,577.9900000,575.0100000,577.3300000,194864
20120717,160000,577.3400000,578.5000000,574.9800000,576.7300000,284776
20120718,100000,576.9800000,579.4290000,576.1300000,578.9900000,133496
20120718,110000,579.1400000,581.8000000,578.9450000,580.9500000,341483
20120718,120000,581.0500000,582.3700000,580.4000000,581.8200000,152426
20120718,130000,581.8400000,583.6500000,581.6800000,583.6100000,198948
20120718,140000,583.6800000,583.6900000,581.9900000,582.0380000,118656
20120718,150000,582.1900000,582.2000000,578.4700000,579.4600000,206073
20120718,160000,579.5000000,581.2700000,579.4800000,580.7300000,271684
20120719,100000,586.0500000,592.4500000,586.0000000,591.7000000,536204
20120719,110000,591.4650000,592.6600000,589.0800000,591.9600000,488434
20120719,120000,591.8000000,594.7500000,591.7900000,594.5100000,344555
20120719,130000,594.7200000,598.4800000,594.5200000,596.6370000,401798
20120719,140000,596.7200000,598.2000000,593.7400000,593.8200000,387221
20120719,150000,593.9200000,596.9999000,593.3900000,596.8200000,541279
20120719,160000,596.7300000,596.9900000,592.7500000,592.7500000,865657
20120720,100000,608.7600000,608.7600000,598.1800000,605.0300000,1630494
20120720,110000,605.0000000,612.9400000,604.0600000,611.1800000,1610980
20120720,120000,611.1300000,612.3200000,608.7000000,610.3100000,650458
20120720,130000,610.2700000,610.6600000,606.8100000,610.2880000,435974
20120720,140000,610.2700000,611.1000000,609.2200000,610.1500000,262413
20120720,150000,610.1602000,612.0000000,609.0000000,611.5300000,472253
20120720,160000,611.5705000,612.5600000,610.5000000,610.7500000,952643
20120723,100000,600.4800000,605.5500000,598.2500000,601.4000000,638185
20120723,110000,601.3800000,606.0000000,598.5500000,605.1100000,526385
20120723,120000,605.2620000,606.7900000,603.5600000,604.9400000,287800
20120723,130000,605.0100000,607.7500000,603.7100000,607.7500000,247697
20120723,140000,607.7500000,614.3100000,607.2800000,613.0400000,485080
20120723,150000,613.0800000,616.6300000,612.7700000,613.6600000,584706
20120723,160000,613.3900000,618.3500000,612.7700000,615.4800000,650899
20120724,100000,615.0400000,617.9300000,611.5100000,612.4900000,331259
20120724,110000,612.5300000,613.0000000,610.7900000,611.2500000,248978
20120724,120000,611.3700000,613.0000000,610.9201000,611.0400000,234100
20120724,130000,611.2600000,611.2600000,607.1500000,608.2800000,199727
20120724,140000,608.0600000,609.6900000,606.1420000,607.0000000,235959
20120724,150000,607.0800000,607.9600000,605.6800000,606.3600000,160224
20120724,160000,606.2900000,608.2500000,604.3400000,607.6800000,455384
20120725,100000,608.3200000,612.2480000,607.0300000,609.2800000,320147
